jp.naver.SJLGPP,0.004662
com.dropbox.android,0.006993
com.android.chrome,0.174825
com.google.android.apps.maps,0.100233
com.facebook.orca,0.065268
com.facebook.katana,0.132867
tw.edu.ntu.ee.arbor.apeic,0.002331
tw.com.alshatech.bikerker,0.009324
com.google.android.apps.unveil,0.002331
idv.nightgospel.TWRailScheduleLookUp,0.004662
com.htc.lmw,0.002331
com.wantoto.gomaji2,0.002331
com.android.vending,0.006993
com.adobe.reader,0.002331
com.google.android.apps.plus,0.006993
com.android.htccontacts,0.013986
com.android.systemui,0.009324
gogolook.callgogolook2,0.013986
com.systex.hks,0.002331
com.android.calculator2,0.004662
com.google.android.gm,0.046620
com.google.android.calendar,0.006993
mong.moptt,0.002331
com.htc.Weather,0.023310
com.android.phone,0.065268
com.joshua.jptt,0.174825
com.htc.album,0.004662
jp.naver.line.android,0.004662
com.cht.tl334.chtwifi,0.004662
com.android.settings,0.027972
com.popularapp.periodcalendar,0.004662
com.android.mms,0.025641
com.android.camera,0.002331
nexti.android.bustaipei,0.037296
