@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, 1, 2, 3, 4, 5, 6, 7, 8, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {com.htc.launcher, com.android.chrome, com.google.android.apps.maps, com.facebook.orca, com.facebook.katana, tw.edu.ntu.ee.arbor.apeic, tw.com.alshatech.bikerker, com.google.android.apps.unveil, mobi.infolife.cache, com.wantoto.gomaji2, com.android.vending, com.android.packageinstaller, com.adobe.reader, com.google.android.apps.plus, com.google.android.youtube, com.android.htccontacts, com.android.phone, android, com.android.calculator2, jp.naver.line.android, com.google.android.calendar, com.android.systemui, com.joshua.jptt, com.google.android.gm, com.cht.tl334.chtwifi, com.htc.android.worldclock, com.android.settings, com.popularapp.periodcalendar, com.android.mms, net.rgruet.android.g3watchdog, nexti.android.bustaipei}
@data
0, 2, 1, STILL, com.facebook.orca
1, 2, 1, STILL, com.facebook.katana
1, 2, 1, STILL, com.android.chrome
1, 2, 1, STILL, com.joshua.jptt
2, 2, 1, STILL, com.htc.android.worldclock
2, 2, 1, UNKNOWN, com.joshua.jptt
3, 2, 1, STILL, com.joshua.jptt
3, 2, 1, STILL, com.google.android.gm
1, 2, 1, STILL, com.google.android.gm
1, 2, 1, TILTING, com.htc.launcher
1, 2, 1, TILTING, com.htc.launcher
1, 2, -1, ON_FOOT, com.google.android.gm
2, 2, 1, TILTING, com.google.android.gm
2, 2, 1, UNKNOWN, com.facebook.katana
2, 2, 1, TILTING, com.android.settings
0, 2, 1, TILTING, com.htc.launcher
0, 2, 1, TILTING, com.htc.launcher
0, 2, 1, UNKNOWN, com.android.settings
1, 2, 1, TILTING, com.android.phone
1, 2, 1, TILTING, com.android.settings
1, 2, 1, TILTING, com.android.mms
1, 2, 1, TILTING, com.htc.launcher
1, 2, -1, IN_VEHICLE, com.facebook.orca
1, 2, 1, TILTING, com.facebook.orca
1, 2, 6, TILTING, com.htc.launcher
1, 2, -1, ON_FOOT, com.google.android.gm
1, 2, -1, ON_FOOT, com.htc.launcher
1, 2, 6, TILTING, com.htc.launcher
1, 2, 6, STILL, com.android.mms
1, 2, 6, TILTING, com.htc.launcher
1, 2, 6, TILTING, com.htc.launcher
1, 2, 6, UNKNOWN, com.android.mms
1, 2, 6, TILTING, com.android.mms
3, 2, 0, TILTING, com.google.android.apps.plus
3, 2, 0, STILL, com.android.chrome
3, 2, 0, TILTING, com.google.android.apps.plus
3, 2, 0, STILL, com.htc.launcher
3, 2, 0, STILL, com.google.android.apps.plus
3, 2, 0, TILTING, com.htc.launcher
3, 2, 0, UNKNOWN, com.facebook.katana
3, 2, 0, STILL, com.joshua.jptt
3, 2, 0, TILTING, com.joshua.jptt
2, 3, 0, TILTING, com.htc.launcher
2, 3, 0, TILTING, com.android.chrome
2, 3, 0, STILL, com.htc.launcher
2, 3, 0, STILL, tw.edu.ntu.ee.arbor.apeic
2, 3, 0, STILL, com.facebook.katana
0, 3, 0, TILTING, com.facebook.katana
0, 3, 0, TILTING, com.htc.launcher
0, 3, 0, STILL, com.android.chrome
2, 3, 0, TILTING, com.android.chrome
2, 3, 0, TILTING, com.htc.launcher
2, 3, 0, STILL, com.android.calculator2
2, 3, 0, TILTING, com.android.calculator2
2, 3, 0, TILTING, com.wantoto.gomaji2
2, 3, 0, STILL, com.facebook.katana
1, 3, 0, TILTING, com.facebook.katana
0, 3, 0, UNKNOWN, com.htc.launcher
3, 3, 0, STILL, com.google.android.apps.unveil
3, 3, 0, STILL, com.joshua.jptt
3, 3, 0, STILL, com.joshua.jptt
0, 4, 0, TILTING, com.htc.launcher
0, 4, 0, STILL, com.facebook.katana
0, 4, 0, STILL, com.htc.launcher
0, 4, 0, STILL, com.joshua.jptt
0, 4, 0, TILTING, com.facebook.katana
0, 4, 0, STILL, com.android.chrome
0, 4, 0, TILTING, com.htc.launcher
1, 4, 0, TILTING, com.htc.launcher
1, 4, 0, STILL, com.facebook.katana
1, 4, 0, STILL, com.joshua.jptt
1, 4, 0, STILL, com.android.chrome
1, 4, 0, STILL, com.joshua.jptt
1, 4, 0, TILTING, com.facebook.katana
