@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, 1, 2, 3, 4, 5, 6, 7, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {com.dropbox.android, com.htc.video, com.android.chrome, com.cleanmaster.mguard, com.fitnesskeeper.runkeeper.pro, com.facebook.orca, com.facebook.katana, tw.edu.ntu.ee.arbor.apeic, com.tul.aviate, com.android.htcdialer, com.htc.lmw, com.android.vending, com.anydo, com.android.packageinstaller, com.htc.calendar, com.google.android.googlequicksearchbox, com.twitter.android, com.android.htccontacts, com.android.phone, gogolook.callgogolook2, android, ch.bitspin.timely, com.htc.htcpowermanager, com.google.android.music, com.google.android.gm, com.StorySense.WhatsTheNumberLite, com.android.systemui, com.anydo.cal, com.google.android.apps.genie.geniewidget, qr.barcode.mttb1, com.cleanmaster.security, kr.co.vcnc.android.couple, com.htc.album, jp.naver.line.android, com.google.android.apps.maps, com.contapps.android, com.android.settings, com.android.mms, com.android.camera, nexti.android.bustaipei}
@data
0, 1, 0, STILL, com.google.android.googlequicksearchbox
0, 1, 0, STILL, com.android.vending
0, 1, 0, STILL, com.cleanmaster.mguard
0, 1, 0, STILL, com.android.settings
0, 1, 0, STILL, com.cleanmaster.mguard
0, 1, 0, STILL, com.tul.aviate
0, 1, 0, STILL, tw.edu.ntu.ee.arbor.apeic
0, 1, 0, STILL, com.cleanmaster.mguard
0, 1, 0, STILL, com.android.vending
0, 1, 0, STILL, com.cleanmaster.mguard
0, 1, 0, STILL, com.cleanmaster.security
0, 1, 0, STILL, com.cleanmaster.mguard
0, 1, 0, STILL, com.cleanmaster.security
0, 1, 0, STILL, com.tul.aviate
0, 1, 0, STILL, com.facebook.katana
0, 1, 0, STILL, com.android.vending
0, 1, 0, STILL, com.cleanmaster.mguard
1, 1, 0, STILL, com.android.vending
1, 1, 0, STILL, com.cleanmaster.mguard
1, 1, 0, STILL, com.android.settings
1, 1, 0, STILL, com.cleanmaster.mguard
1, 1, 0, STILL, com.android.packageinstaller
1, 1, 0, STILL, com.android.vending
1, 1, 0, STILL, com.android.systemui
1, 1, 0, STILL, com.cleanmaster.mguard
1, 1, 0, STILL, com.android.packageinstaller
1, 1, 0, STILL, com.android.systemui
1, 1, 0, STILL, com.android.vending
1, 1, 0, STILL, com.cleanmaster.mguard
1, 1, 0, TILTING, com.tul.aviate
1, 1, 0, STILL, com.cleanmaster.mguard
1, 1, 0, TILTING, com.tul.aviate
1, 1, 0, STILL, jp.naver.line.android
1, 1, 0, TILTING, com.contapps.android
1, 1, -1, ON_FOOT, com.android.phone
1, 1, -1, ON_FOOT, com.contapps.android
1, 1, -1, ON_FOOT, com.tul.aviate
1, 1, -1, ON_FOOT, com.google.android.music
1, 1, 0, UNKNOWN, com.contapps.android
1, 1, -1, ON_FOOT, com.android.phone
1, 1, 0, TILTING, com.contapps.android
1, 1, -1, ON_FOOT, com.tul.aviate
1, 1, 0, TILTING, com.android.phone
2, 1, 3, TILTING, com.tul.aviate
0, 1, 1, TILTING, com.android.settings
0, 1, 1, TILTING, com.android.systemui
0, 1, 1, TILTING, com.android.settings
0, 1, 1, TILTING, com.android.settings
0, 1, 1, TILTING, com.facebook.orca
0, 1, 1, STILL, com.android.settings
0, 1, 1, TILTING, com.facebook.katana
0, 1, -1, ON_FOOT, jp.naver.line.android
0, 1, 1, TILTING, com.tul.aviate
0, 1, 1, TILTING, com.android.camera
0, 1, 1, TILTING, com.android.camera
0, 1, 1, TILTING, com.facebook.katana
0, 1, 1, TILTING, jp.naver.line.android
0, 1, 1, TILTING, jp.naver.line.android
0, 1, 1, UNKNOWN, com.facebook.katana
0, 1, 1, STILL, com.cleanmaster.mguard
0, 1, 1, UNKNOWN, com.google.android.googlequicksearchbox
0, 1, 1, STILL, com.android.chrome
0, 1, 1, UNKNOWN, com.android.settings
1, 1, 1, UNKNOWN, com.cleanmaster.mguard
1, 1, 1, STILL, jp.naver.line.android
1, 1, 1, TILTING, com.android.vending
