@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {com.android.browser, com.android.mms, com.htc.notes, com.google.android.apps.maps, com.facebook.orca, com.facebook.katana, edu.ntu.arbor.sbchao.androidlogger, com.android.vending, com.htc.flashlight, com.google.android.googlequicksearchbox, com.android.htccontacts, com.android.phone, sg.xingzhi.miu_ptt, com.tencent.mm, com.infraware.docmaster, jp.naver.line.android, mong.moptt, com.htc.Weather, com.skystar.twbus, com.android.systemui, com.softstar.Richman, com.htc.album, com.google.android.gm, com.htc.android.worldclock, com.htc.task, com.android.settings, com.htc.launcher, com.android.camera, com.htc.plugin.news}
@data
1, 3, 1, TILTING, com.android.htccontacts
1, 3, 1, TILTING, com.android.phone
1, 3, 1, TILTING, com.htc.launcher
1, 3, -1, IN_VEHICLE, com.android.phone
1, 3, 1, TILTING, com.android.htccontacts
1, 3, 1, TILTING, com.android.phone
2, 3, 1, TILTING, com.android.htccontacts
2, 3, 1, TILTING, com.android.phone
2, 3, 1, TILTING, com.android.htccontacts
2, 3, -1, ON_FOOT, com.htc.launcher
2, 3, 1, UNKNOWN, com.google.android.gm
2, 3, 1, STILL, com.android.phone
2, 3, 1, UNKNOWN, com.android.htccontacts
2, 3, 1, STILL, com.google.android.gm
2, 3, 1, STILL, com.google.android.gm
3, 3, 1, STILL, com.google.android.gm
3, 3, 1, TILTING, com.google.android.gm
3, 3, 1, TILTING, com.google.android.gm
3, 3, -1, ON_FOOT, com.android.htccontacts
3, 3, 1, TILTING, com.android.phone
3, 3, 1, TILTING, com.android.htccontacts
3, 3, 1, TILTING, com.android.phone
3, 3, 1, TILTING, com.android.htccontacts
3, 3, 1, TILTING, com.android.phone
3, 3, 1, TILTING, com.android.htccontacts
3, 3, 1, TILTING, com.android.htccontacts
3, 3, 1, TILTING, com.android.phone
3, 3, 1, TILTING, com.android.htccontacts
3, 3, -1, ON_FOOT, com.android.htccontacts
3, 3, 1, TILTING, com.android.phone
3, 3, 1, TILTING, com.android.htccontacts
0, 3, 1, TILTING, com.android.settings
0, 3, 2, UNKNOWN, com.google.android.apps.maps
0, 3, 2, TILTING, com.android.mms
0, 3, 2, TILTING, com.google.android.apps.maps
0, 3, 2, UNKNOWN, com.android.browser
0, 3, 2, STILL, com.android.settings
0, 3, 2, TILTING, com.htc.launcher
0, 3, 2, STILL, com.htc.launcher
1, 3, 2, TILTING, com.htc.launcher
1, 3, 2, TILTING, com.android.camera
1, 3, 2, TILTING, com.htc.launcher
1, 3, 2, TILTING, com.htc.launcher
2, 3, -1, ON_BICYCLE, com.android.phone
2, 3, 2, TILTING, com.android.htccontacts
2, 3, 2, TILTING, com.android.phone
2, 3, 4, TILTING, com.android.htccontacts
2, 3, 4, TILTING, com.android.htccontacts
2, 3, 4, STILL, com.android.browser
2, 3, 4, TILTING, com.android.htccontacts
2, 3, 4, TILTING, com.android.browser
2, 3, 4, UNKNOWN, com.htc.launcher
2, 3, 4, TILTING, com.android.phone
2, 3, 4, TILTING, com.htc.launcher
2, 3, 4, UNKNOWN, com.google.android.apps.maps
2, 3, 4, UNKNOWN, com.android.settings
2, 3, 4, STILL, com.google.android.apps.maps
2, 3, 4, TILTING, com.android.phone
2, 3, 4, TILTING, com.android.htccontacts
2, 1, 0, STILL, com.htc.android.worldclock
0, 1, 0, TILTING, com.htc.android.worldclock
1, 1, 0, TILTING, com.htc.android.worldclock
1, 1, 0, TILTING, com.htc.android.worldclock
1, 1, 0, STILL, com.htc.Weather
1, 1, 0, UNKNOWN, com.android.browser
1, 1, 0, UNKNOWN, com.htc.launcher
2, 1, 0, TILTING, com.htc.launcher
2, 1, 0, UNKNOWN, com.facebook.orca
2, 1, 0, UNKNOWN, com.htc.launcher
2, 1, 0, UNKNOWN, com.facebook.katana
