10	0.916205	0.892271
11	0.906692	0.879726
12	0.904346	0.879092
13	0.901080	0.870938
14	0.907533	0.877312
15	0.897818	0.860247
16	0.892253	0.852074
17	0.883721	0.838195
18	0.883576	0.838854
19	0.880591	0.834641
20	0.876007	0.824062
21	0.879164	0.828384
22	0.870680	0.816785
23	0.873266	0.817581
24	0.865301	0.806956
25	0.867547	0.806197
26	0.864472	0.800850
27	0.868093	0.803741
28	0.860201	0.789442
29	0.867637	0.803760
30	0.868992	0.807190
31	0.860800	0.792820
32	0.868992	0.803053
33	0.861236	0.790090
34	0.856033	0.779383
35	0.862235	0.790452
36	0.857456	0.783554
37	0.848461	0.768300
38	0.854521	0.776368
39	0.858933	0.782789
40	0.852586	0.773706
41	0.855969	0.777924
42	0.855739	0.774002
43	0.851499	0.766071
44	0.857493	0.775552
45	0.860930	0.783600
46	0.860463	0.779061
47	0.854241	0.767540
48	0.857366	0.772548
49	0.851961	0.764756
50	0.858895	0.774524
51	0.851907	0.765549
52	0.853157	0.766710
53	0.852530	0.763513
54	0.845921	0.753629
55	0.854337	0.767374
56	0.859822	0.772215
57	0.849543	0.757132
58	0.851156	0.762666
59	0.846878	0.751308
60	0.844697	0.748206
