@relation ff3be9536122e83f
@attribute latitude real
@attribute longitude real
@data
25.058144, 121.563306
25.058175, 121.563289
25.058198, 121.563266
25.058212, 121.563289
25.058233, 121.562962
25.058326, 121.563472
25.058364, 121.563319
25.058365, 121.563467
25.058367, 121.563320
25.058372, 121.563345
25.058373, 121.563316
25.058373, 121.563319
25.058373, 121.563326
25.058373, 121.563350
25.058376, 121.563301
25.058378, 121.563299
25.058378, 121.563325
25.058378, 121.563326
25.058378, 121.563334
25.058378, 121.563338
25.058378, 121.563342
25.058379, 121.563332
25.058379, 121.563336
25.058380, 121.563308
25.058380, 121.563325
25.058380, 121.563329
25.058380, 121.563358
25.058381, 121.563312
25.058381, 121.563316
25.058381, 121.563322
25.058381, 121.563331
25.058381, 121.563333
25.058381, 121.563338
25.058381, 121.563339
25.058381, 121.563364
25.058382, 121.563315
25.058382, 121.563328
25.058382, 121.563333
25.058382, 121.563335
25.058382, 121.563345
25.058383, 121.563318
25.058383, 121.563324
25.058383, 121.563328
25.058383, 121.563329
25.058383, 121.563331
25.058383, 121.563333
25.058383, 121.563337
25.058383, 121.563349
25.058384, 121.563311
25.058384, 121.563312
25.058384, 121.563314
25.058384, 121.563316
25.058384, 121.563318
25.058384, 121.563320
25.058384, 121.563321
25.058384, 121.563324
25.058384, 121.563327
25.058384, 121.563329
25.058384, 121.563332
25.058384, 121.563333
25.058384, 121.563338
25.058384, 121.563339
25.058384, 121.563341
25.058384, 121.563344
25.058384, 121.563347
25.058384, 121.563363
25.058385, 121.563310
25.058385, 121.563311
25.058385, 121.563315
25.058385, 121.563316
25.058385, 121.563318
25.058385, 121.563321
25.058385, 121.563322
25.058385, 121.563323
25.058385, 121.563326
25.058385, 121.563328
25.058385, 121.563331
25.058385, 121.563333
25.058385, 121.563368
25.058386, 121.563316
25.058386, 121.563317
25.058386, 121.563318
25.058386, 121.563319
25.058386, 121.563320
25.058386, 121.563321
25.058386, 121.563324
25.058386, 121.563325
25.058386, 121.563326
25.058386, 121.563328
25.058386, 121.563329
25.058386, 121.563330
25.058386, 121.563331
25.058386, 121.563333
25.058386, 121.563339
25.058386, 121.563361
25.058387, 121.563291
25.058387, 121.563315
25.058387, 121.563318
25.058387, 121.563319
25.058387, 121.563321
25.058387, 121.563323
25.058387, 121.563325
25.058387, 121.563326
25.058387, 121.563327
25.058387, 121.563331
25.058387, 121.563332
25.058387, 121.563335
25.058387, 121.563336
25.058387, 121.563337
25.058387, 121.563343
25.058387, 121.563345
25.058387, 121.563348
25.058388, 121.563311
25.058388, 121.563314
25.058388, 121.563318
25.058388, 121.563319
25.058388, 121.563320
25.058388, 121.563321
25.058388, 121.563323
25.058388, 121.563326
25.058388, 121.563327
25.058388, 121.563331
25.058388, 121.563332
25.058388, 121.563333
25.058388, 121.563334
25.058388, 121.563353
25.058389, 121.563305
25.058389, 121.563308
25.058389, 121.563319
25.058389, 121.563321
25.058389, 121.563327
25.058389, 121.563328
25.058389, 121.563329
25.058389, 121.563330
25.058389, 121.563333
25.058389, 121.563339
25.058389, 121.563340
25.058389, 121.563341
25.058389, 121.563342
25.058389, 121.563343
25.058389, 121.563346
25.058389, 121.563351
25.058389, 121.563363
25.058390, 121.563298
25.058390, 121.563305
25.058390, 121.563306
25.058390, 121.563310
25.058390, 121.563313
25.058390, 121.563316
25.058390, 121.563317
25.058390, 121.563318
25.058390, 121.563319
25.058390, 121.563320
25.058390, 121.563321
25.058390, 121.563324
25.058390, 121.563326
25.058390, 121.563327
25.058390, 121.563329
25.058390, 121.563336
25.058390, 121.563338
25.058390, 121.563345
25.058390, 121.563346
25.058391, 121.563307
25.058391, 121.563312
25.058391, 121.563313
25.058391, 121.563314
25.058391, 121.563316
25.058391, 121.563317
25.058391, 121.563318
25.058391, 121.563321
25.058391, 121.563322
25.058391, 121.563323
25.058391, 121.563324
25.058391, 121.563325
25.058391, 121.563326
25.058391, 121.563327
25.058391, 121.563330
25.058391, 121.563331
